"NPA","CO Code (NXX)","Status","Pooled","Exchange Area","Province","Company","OCN","Remarks"
,,,,,,,,2026-05-09
204,200,"In Service","N","Winnipeg","MB","ISP Telecom Inc.","4727",
204,201,"In Service","N","Winnipeg","MB","Zayo Canada Inc.","8304",
204,202,"In Service","N","Winnipeg","MB","Fibernetics Corporation","464D",
204,203,"In Service","N","Poplar Point","MB","Provincial Tel Inc.","498E",
204,204,"Not Available","N",,,,,"Home NPA"
204,205,"In Service","N","Beausejour","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,206,"In Service","N","Teulon","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,207,"In Service","N","Roblin","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,208,"In Service","N","Pilot Mound","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,209,"In Service","N","Morris","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,210,"In Service","N","Minnedosa","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,211,"For Special Use","N",,,,,"Public Information and Referral Services"
204,212,"In Service","N","Neepawa","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,213,"In Service","N","Lac Du Bonnet","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,214,"In Service","N","Eriksdale","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,215,"In Service","N","Boissevain","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,216,"In Service","N","Altona","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,217,"In Service","N","Altona","MB","Provincial Tel Inc.","498E",
204,218,"In Service","N","Winnipeg","MB","TELUS Mobility","8303",
204,219,"In Service","N","Winnipeg","MB","Shaw Telecom Inc.","497E",
204,220,"In Service","N","Winnipeg","MB","Bell West Inc.","2933",
204,221,"In Service","N","Winnipeg","MB","Shaw Telecom Inc.","497E",
204,222,"In Service","N","Winnipeg","MB","MTS Inc.","8088",
204,223,"In Service","N","Winnipeg","MB","MTS Inc.","991B",
204,224,"In Service","N","Winnipeg","MB","MTS Inc.","8088",
204,225,"In Service","N","Winnipeg","MB","MTS Inc.","8088",
204,226,"In Service","N","Winnipeg","MB","MTS Inc.","991B",
204,227,"In Service","N","Winnipeg","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,228,"In Service","N","Winnipeg","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,229,"In Service","N","Winnipeg","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,230,"In Service","N","Winnipeg","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,231,"In Service","N","Winnipeg","MB","MTS Inc.","8088",
204,232,"In Service","N","Winnipeg","MB","MTS Inc.","991B",
204,233,"In Service","N","Winnipeg","MB","MTS Inc.","8088",
204,234,"In Service","N","Oakburn","MB","MTS Inc.","8088",
204,235,"In Service","N","Winnipeg","MB","MTS Inc.","8088",
204,236,"In Service","N","Birch River","MB","MTS Inc.","8088",
204,237,"In Service","N","Winnipeg","MB","MTS Inc.","8088",
204,238,"In Service","N","Bowsman","MB","MTS Inc.","8088",
204,239,"In Service","N","Portage La Prairie","MB","MTS Inc.","8088",
204,240,"In Service","N","Portage La Prairie","MB","Shaw Telecom Inc.","497E",
204,241,"In Service","N","Southport","MB","Shaw Telecom Inc.","497E",
204,242,"In Service","N","Manitou","MB","MTS Inc.","8088",
204,243,"In Service","N","Poplar Point","MB","MTS Inc.","8088",
204,244,"In Service","N","Poplar River","MB","MTS Inc.","8088",
204,245,"In Service","N","Pilot Mound","MB","MTS Inc.","991B",
204,246,"In Service","N","Darlingford","MB","MTS Inc.","8088",
204,247,"In Service","N","Roblin","MB","MTS Inc.","991B",
204,248,"In Service","N","Notre Dame de Lourdes","MB","MTS Inc.","8088",
204,249,"In Service","N","Portage La Prairie","MB","MTS Inc.","991B",
204,250,"In Service","N","Winnipeg","MB","MTS Inc.","991B",
204,251,"In Service","N","Winnipeg","MB","MTS Inc.","991B",
204,252,"In Service","N","Edwin","MB","MTS Inc.","8088",
204,253,"In Service","N","Winnipeg","MB","MTS Inc.","8088",
204,254,"In Service","N","Winnipeg","MB","MTS Inc.","8088",
204,255,"In Service","N","Winnipeg","MB","MTS Inc.","8088",
204,256,"In Service","N","Winnipeg","MB","MTS Inc.","8088",
204,257,"In Service","N","Winnipeg","MB","MTS Inc.","8088",
204,258,"In Service","N","Winnipeg","MB","MTS Inc.","8088",
204,259,"In Service","N","Winnipeg","MB","TELUS Integrated Communications","2782",
204,260,"In Service","N","Winnipeg","MB","MTS Inc.","991B",
204,261,"In Service","N","Winnipeg","MB","MTS Inc.","8088",
204,262,"In Service","N","Winnipeg","MB","MTS Inc.","8088",
204,263,"In Service","N","Pine River","MB","MTS Inc.","8088",
204,264,"In Service","N","Melita","MB","MTS Inc.","991B",
204,265,"In Service","N","Brokenhead","MB","MTS Inc.","8088",
204,266,"In Service","N","Beausejour","MB","MTS Inc.","991B",
204,267,"In Service","N","Oakville","MB","MTS Inc.","8088",
204,268,"In Service","N","Beausejour","MB","MTS Inc.","8088",
204,269,"In Service","N","Winnipeg","MB","MTS Inc.","8088",
204,270,"In Service","N","Lorette","MB","MTS Inc.","991B",
204,271,"In Service","N","Flin Flon","MB","MTS Inc.","991B",
204,272,"In Service","N","Winnipeg","MB","GT Group Telecom Services Corp.","8506",
204,273,"Not Available","N",,,,,"Not available iaw Section 3.7 of CO Code Guidelines: Future Canadian Geographic NPA"
204,274,"In Service","N","Macdonald","MB","MTS Inc.","8088",
204,275,"In Service","N","Winnipeg","MB","MTS Inc.","8088",
204,276,"In Service","N","Pine Dock","MB","MTS Inc.","8088",
204,277,"In Service","N","Bissett","MB","MTS Inc.","8088",
204,278,"In Service","N","Inwood","MB","MTS Inc.","8088",
204,279,"In Service","N","Hecla","MB","MTS Inc.","8088",
204,280,"In Service","N","Eriksdale","MB","MTS Inc.","991B",
204,281,"In Service","N","Swan River","MB","MTS Inc.","991B",
204,282,"In Service","N","Winnipeg","MB","Bell West Inc.","2933",
204,283,"In Service","N","Winnipeg","MB","Bell West Inc.","2933",
204,284,"In Service","N","Winnipeg","MB","MTS Inc.","8088",
204,285,"In Service","N","Winnipeg","MB","Bell West Inc.","2933",
204,286,"In Service","N","Thicket Portage","MB","MTS Inc.","8088",
204,287,"In Service","N","Winnipeg","MB","MTS Inc.","8088",
204,288,"In Service","N","Ilford","MB","MTS Inc.","8088",
204,289,"In Service","N","Winnipeg","MB","Primus Telecommunications Canada Inc.","201A",
204,290,"In Service","N","Winnipeg","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,291,"In Service","N","Winnipeg","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,292,"In Service","N","Winnipeg","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,293,"In Service","N","Winnipeg","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,294,"In Service","N","Winnipeg","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,295,"In Service","N","Winnipeg","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,296,"In Service","N","Winnipeg","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,297,"In Service","N","Winnipeg","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,298,"In Service","N","Winnipeg","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,299,"In Service","N","Winnipeg","MB","MTS Inc.","991B",
204,300,"In Service","N","Steinbach","MB","Provincial Tel Inc.","498E",
204,301,"In Service","N","Norway House","MB","MTS Inc.","991B",
204,302,"In Service","N","Ashern","MB","MTS Inc.","991B",
204,303,"In Service","N","Rivers","MB","MTS Inc.","991B",
204,304,"In Service","N","Altona","MB","MTS Inc.","991B",
204,305,"In Service","N","Boissevain","MB","MTS Inc.","991B",
204,306,"In Service","N","Winnipeg","MB","Shaw Telecom Inc.","497E",
204,307,"In Service","N","Thompson","MB","MTS Inc.","991B",
204,308,"In Service","N","Fisher River","MB","MTS Inc.","991B",
204,309,"In Service","N","Grand Rapids","MB","MTS Inc.","991B",
204,310,"In Service","N","7 Digit Service",,"MTS Inc.","8088","7 Digit Service"
204,311,"For Special Use","N",,,,,"Non-Emergency Municipal Government Services"
204,312,"In Service","N","Winkler","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,313,"In Service","N","Roland","MB","Provincial Tel Inc.","498E",
204,314,"In Service","N","Ashern","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,315,"In Service","N","Grand Rapids","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,316,"In Service","N","Souris","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,317,"In Service","N","Pine Falls","MB","Provincial Tel Inc.","498E",
204,318,"In Service","N","Winnipeg","MB","GT Group Telecom Services Corp.","8506",
204,319,"In Service","N","Altona","MB","MTS Inc.","8088",
204,320,"In Service","N","Steinbach","MB","MTS Inc.","8088",
204,321,"In Service","N","Steinbach","MB","MTS Inc.","8088",
204,322,"In Service","N","Warren","MB","MTS Inc.","8088",
204,323,"In Service","N","Brochet","MB","MTS Inc.","8088",
204,324,"In Service","N","Altona","MB","MTS Inc.","8088",
204,325,"In Service","N","Winkler","MB","MTS Inc.","8088",
