CIC,ACNA,Entity,Assgnmt Dt,Contact,Phone,Street,City,State,Zip
0004,ATZ,"ATX Telecommunications Services, Ltd.",11/17/1989,JoAnn Wight,610-755-4000,1019 W. Ninth Ave.,King of Prussia,PA,19406
0078,ESB,Enhanced Services Billing Inc.,10/22/1986,Amy Atkins,210-949-7005,"7411 John Smith Dr., Suite 1500",San Antonio,TX,78229
0085,WES,"WesTel, Inc.",05/20/1983,Robb Milam,512-480-5500,12015 Park Thirty Five Circle Suite 1208,"Austin,",TX,78753
0110,---,Tandem Access for Database Query,,800 Database,,,,,
0136,EAS,"Broadwing Communications, LLC",07/10/1992,Lori Northup,303-707-8654,700 W. Mineral Ave.,Littleton,CO,---
0171,SUE,"SuperTel Communications, Inc.",1/6/1993,---,---,---,---,---,---
0211,RTC,"Global Crossing North American Networks, Inc.",10/18/1989,Lori Northup,303-707-8654,700 W. Mineral Ave.,Littleton,CO,80120
0266,STE,"ILD Telecommunications, Inc.",11/28/1984,Greg Hall,---,"16200 Addison Rd., Suite 180",Addison,TX,75001
0302,ABN,Austin Bestline,11/19/1986,Rob Milani,512-328-9095,500 Capital of Texas Hwy.S.Bldg.8 (200),Austin,TX,78746
0358,SEP,"CenturyLink Communications, LLC",07/31/1991,Lori Northup,303-707-8654,700 W. Mineral Ave.,Littleton,CO,80120
0390,PRO,ONE-2-ONE Communications,07/30/1986,---,---,---,---,---,---
0421,COK,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",04/02/1985,laura.r.dalton@verizon.com,,,,,
0488,ITT,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",03/02/1982,laura.r.dalton@verizon.com,,,,,
0511,ESM,"Global Crossing Telecommunications, Inc.",05/14/1987,Lori Northup,303-707-8654,700 W. Mineral Ave.,Littleton,CO,80120
0537,LDW,Qwest Communications,1/27/1990,Lori Northup,303-707-8654,700 W. Mineral Ave.,Littleton,CO,80120
0543,---,Comlink Telecommunication Services Inc.,07/15/2002,Amit Panjwani,416-570-2136,6 Glenmore Drive,"Whitby, Ontario",CANADA,L1N 9C2
0556,ULD,U.S. Billing,10/22/1986,Amy Atkins,210-949-7130,"7411 John Smith Dr., Suite 1500",San Antonio,TX,78229
0624,GPY,Global Payments Inc.,12/21/1987,Mike Reidenbach,770-829-8010,"10 Glenlake Pkwy., North Tower","Atlanta,",GA,30328
0625,OAN,"OAN Services, Inc.",12/31/2010,Amy Atkins,210-949-7130,"7411 John Smith Dr., Suite 1500",San Antonio,TX,78229
0627,---,Nationwide Emergency Telecomm. System,,---,,,,,
0638,NWT,"VarTec Telecom, Inc.",04/02/1985,"Michael G. Hoffman, Esq.",972-478-3300,2440 Marsh Lane,Carrollton,TX,75006
