CIC,ACNA,Entity,Assgnmt Dt,Contact,Phone,Street,City,State,Zip
0000,---,Reserved for Testing Purposes Only,,,---,,,,
0001,MAL,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",12/29/1986,laura.r.dalton@verizon.com,,,,,
0002,DDD,D.D.D. Calling,06/27/2003,Jamal Lee,713-626-7460,"6300 Richmond Ave., Suite 304","Houston,",TX,77057
0003,RTC,"Global Crossing North American Networks, Inc.",10/18/1989,Lori Northup,303-707-8654,700 W. Mineral Ave.,Littleton,CO,80120
0004,ATZ,"ATX Telecommunications Services, Ltd.",11/17/1989,JoAnn Wight,610-755-4000,1019 W. Ninth Ave.,King of Prussia,PA,19406
0005,VRT,VarTec,4/2/1993,"Michael G. Hoffman, Esq.",972-478-3300,2440 Marsh Lane,Carrollton,TX,75006
0006,ALU,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",11/09/1983,laura.r.dalton@verizon.com,,,,,
0007,TAM,TelaMarketing Communications Inc.,10/06/1983,---,---,215 So. State St. 10th Flr. Bx 510830,Salt Lake City,UT,84151
0008,TFB,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",11/28/1984,laura.r.dalton@verizon.com,,,,,
0009,EQN,"Ciera Network Systems, Inc. (CCC GlobalCom Corp.)",10/25/1991,---,---,---,---,---,---
0010,VTD,Valley Telephone Long Distance,2/28/1995,Oni Montez,956-642-1162,480 S. Sixth St.,Raymondville,TX,78580
0011,TGW,"Tern Wireless, LLC",3/29/2004,"David G. Fernald, Jr.",---,"637 Main St., Rear Suite 101","Stroudsburg,",PA,18360
0012,JJJ,"CenturyLink Communications, LLC",,Lori Northup,303-707-8654,700 W. Mineral Ave,Littleton,CO,80120
0013,QCX,GetGo Communications LLC,10/19/2012,Mark Boyles,201-386-2213,"10 Exchange Pl., Suite 1710",Jersey City,NJ,07302
0016,IIK,"Iloka, Inc. dba NewCloud Networks",6/24/2009,Dennis Cox,303-812-1281,5600 Greenwood Plaza Blvd.,Greenwood Village,CO,80111
0018,SMW,"CenturyLink Communications, LLC",01/30/1987,James B. Cooper,318-340-5343,100 CenturyLink Dr.,Monroe,LA,71203
0019,TSD,TMC Long Distance dba Cherry Communications Inc.,12/08/1987,Jo Ann Vaitenas,---,---,---,---,---
0021,JRL,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",4/2/1993,laura.r.dalton@verizon.com,,,,,
0022,MCI,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",10/18/1985,laura.r.dalton@verizon.com,,,,,
0024,PST,"Primus Telecommunications, Inc.",07/20/1995,Jeff Mellott,---,2094 185th St.,Fairfield,IA,51556
0025,OOU,"ConnectTo Communications, Inc.",7/17/2008,Nadjarian Araksiya,818-546-4602,"555 Riverdale Dr., Suite A",Glendale,CA,91204
0026,RSK,"Tri-Co Technologies, LLC dba Crosslake Communications",4/18/2005,Deb Floerchinger,800-992-8220,35910 Co Rd 66,Crosslake,MN,56442
0030,VWF,"U.S. Long Distance, Inc.",11/28/1984,---,---,---,---,---,---
0032,UCI,"United Communications Assn., Inc.",07/19/1995,Jennifer Pachner,620-227-8645,1107 McArtor Rd.  P.O. Box 117,Dodge City,KS,67801-0117
0034,XTY,Telengy LLC,6/6/2011,Greg Borodiansky,212-379-4000,"11 Broadway, Suite 1015",New York,NY,10004
0035,CWK,"CenturyLink Communications, LLC",12/06/1989,Lori Northup,303-707-8654,700 W. Mineral Ave,Littleton,CO,80120
0036,LSI,MCImetro Access Transmission Services LLC,06/13/1986,godfrey.chisanga@verizon.com,,,,,
0037,NWO,"First Communications, LLC",06/16/1987,Jorge Rodriguez,630-812-6395,3340 West Market St.,Akron,OH,44333
0038,CZX,Citizens Communications,07/20/1995,Sheri M. Pressler,260-461-3475,6430 Oakbrook Pkwy.,Fort Wayne,IN,46825
0040,TED,"CenturyLink Communications, LLC",02/08/1984,Lori Northup,303-707-8654,700 W. Mineral Ave,Littleton,CO,80120
0041,TSJ,Telecommunication Systems,6/7/2013,Kim R. Scovill,410-349-7097,275 West. St.,Annapolis,MD,21401
0042,EGS,Empire Long Distance Corporation,6/28/2005,William E. Doran,607-522-4218,34 Main St.,Prattsburgh,NY,14873
0043,CDZ,Consolidated Communications Public Services,04/08/1991,Matt Smith,217-258-2959,121 S. 17th St.,"Mattoon,",IL,61938
0044,ALN,"Global Crossing Telecommunications, Inc.",05/07/1986,Lori Northup,303-707-8654,700 W. Mineral Ave.,Littleton,CO,80120
0045,PSA,"PSA, Inc.",07/20/1988,J. Gordon Whitley,---,---,---,---,---
0046,FMM,Farmers Mutual Telephone Company,10/18/2018,Kevin Beyer,320-568-2105,301 2nd St. S,Bellingham,MN,56212
0047,NQW,"New Windsor Cable TV, Inc.",11/28/2011,Troy Nimrick,309-667-2150,305 S. 5th Ave.,New Windsor,IL,61465
0048,ETM,Plateau Telecommunications,09/04/1992,Launa Waller,575-389-4211,7111 N. Prince St.,"Clovis,",NM,88101
0049,IOR,"McLeodUSA Telecommunications Services, Inc.",03/19/1991,Chris Chase,918-419-3607,"15 East 5th St., Suite 1700",Tulsa,OK,74103
0050,ATE,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",02/21/1984,laura.r.dalton@verizon.com,,,,,
0052,WCU,"Global Crossing Bandwidth, Inc.",10/23/1989,Lori Northup,303-707-8654,700 W. Mineral Ave.,Littleton,CO,80120
0053,ANW,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",02/21/1984,laura.r.dalton@verizon.com,,,,,
0054,ETS,"Eastern Telephone Systems, Inc.",,---,---,---,---,---,---
0055,WTL,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",3/10/1983,laura.r.dalton@verizon.com,,,,,
0056,SPA,"CenturyLink Communications, LLC",2/20/1993,Lori Northup,303-707-8654,700 W. Mineral Ave,Littleton,CO,80120
0057,JCM,JCM Networking Inc. dba Southern LEC,3/18/2004,---,---,---,---,---,---
0058,FLS,"Global Crossing Local Services, Inc.",05/10/1984,Lori Northup,303-707-8654,700 W. Mineral Ave.,Littleton,CO,80120
0059,GLD,"National Independent Carrier Exch.,Inc.",02/26/1991,---,---,---,---,---,---
0061,AZC,"Arrival Communications, Inc.",09/11/1991,Liz Santi,---,1807 19th St.,"Bakersfield,",CA,93301
0062,ROI,"Ropir Industries, Inc. dba Ropir Communications",7/14/2006,Scott Sherlock,334-279-8201,8149 Old Federal Rd.,Montgomery,AL,36117
0063,CIZ,"Coast International, Inc.",03/05/1991,Bijan Moaveni,---,---,---,---,---
0064,LNV,"Lincolnville Communications, Inc.",6/30/2005,James A. Sanborn,207-563-9910,133 Back Meadow Rd.,Nobleboro,ME,04555
0066,ALN,"Global Crossing Telecommunications, Inc.",02/26/1987,Lori Northup,303-707-8654,700 W. Mineral Ave.,Littleton,CO,80120
0070,NTX,"U.S. Long Distance, Inc.",,---,---,---,---,---,---
0071,WSN,"Broadwing Communications, LLC",11/05/1985,Lori Northup,303-707-8654,700 W. Mineral Ave,Littleton,CO,80120
0072,LGQ,"ATC Long Distance, Inc.",4/22/2013,Rich Redman,208-673-5335,225 W. North Street,Albion,ID,83311
0073,CPW,COMMUNICATIONS OPTIONS INC.,03/21/1991,Stephen K. Vogelmeier,---,"921 Eastwind Dr., Suite 104",Westerville,OH,43081-5316
0074,TVY,City of Thomasville,8/12/2005,Maurice Parramore,229-227-4141,111 Victoria Pl.,Thomasville,GA,31792
0075,SOQ,"South Central Communications - Telcom Services, LLC",9/24/2009,Troy Brian,435-836-0604,45 North 100 West,Escalante,UT,84726
0076,IRZ,"Airespring, Inc.",11/3/2004,Don Greenstein,818-786-8990,"6060 Sepulveda Blvd., 2nd Floor",Van Nuys,CA,91411
0077,GCN,GCI Communication Corp.,05/15/1982,Georgia Raynsford,907-868-5576,2550 Denali St.,Anchorage,AK,99503
0078,ESB,Enhanced Services Billing Inc. ,,Amy Atkins,210-949-7130,"7411 John Smith Dr., Suite 1500","San Antonio,",TX,78229
0079,DEY,"Windstream D&E Systems, Inc.",6/3/1992,Edward Webber,585-340-2854,600 Willowbrook Office Park,Fairport,NY,14450
0081,TTU,"Covista Communications, Inc.",08/24/1983,Terri L. Coyle,423-648-9660,4803 Hwy. 58,Chattanooga,TN,37416
0082,DPY,Discount Payphone,05/14/1993,---,---,---,---,---,---
0084,BIH,"Tier 2 Communications, LLC",8/23/2005,Steve Bracy,419-739-3149,P.O. Box 2038,Wapakoneta,OH,45895
0085,WES,"WesTel, Inc.",05/20/1983,Robb Milam,512-480-5500,12015 Park Thirty Five Circle Suite 1208,"Austin,",TX,78753
0086,MAD,"Global Crossing Telecommunications, Inc.",09/30/1986,Lori Northup,303-707-8654,700 W. Mineral Ave,Littleton,CO,80120
0087,SNT,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",05/14/1987,laura.r.dalton@verizon.com,,,,,
0088,MCJ,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",,laura.r.dalton@verizon.com,,,,,
